TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,72,70,93,29.87,8,SSW,6.9,-,N/A,,Mostly Cloudy,200,2013-09-02 04:51:00
1:51 AM,71.1,69.1,93,29.85,10,SW,6.9,-,N/A,,Mostly Cloudy,220,2013-09-02 05:51:00
2:51 AM,71.1,69.1,93,29.85,10,SSW,8.1,-,N/A,,Mostly Cloudy,210,2013-09-02 06:51:00
3:51 AM,71.1,69.1,93,29.84,10,SSW,5.8,-,N/A,,Scattered Clouds,210,2013-09-02 07:51:00
4:36 AM,69.8,69.8,100,29.86,10,SW,4.6,-,N/A,,Mostly Cloudy,220,2013-09-02 08:36:00
4:51 AM,71.1,70,96,29.84,10,SW,6.9,-,N/A,,Mostly Cloudy,230,2013-09-02 08:51:00
5:51 AM,71.1,70,96,29.85,7,SW,5.8,-,N/A,,Overcast,230,2013-09-02 09:51:00
6:51 AM,71.1,70,96,29.86,5,SW,5.8,-,N/A,,Mostly Cloudy,220,2013-09-02 10:51:00
7:27 AM,71.6,69.8,94,29.87,2,WSW,5.8,-,N/A,,Mostly Cloudy,240,2013-09-02 11:27:00
7:51 AM,71.1,70,96,29.86,2,West,3.5,-,N/A,,Mostly Cloudy,260,2013-09-02 11:51:00
8:03 AM,71.6,71.6,100,29.87,9,SW,4.6,-,N/A,,Mostly Cloudy,230,2013-09-02 12:03:00
8:51 AM,73.9,71.1,91,29.87,9,West,3.5,-,N/A,,Mostly Cloudy,260,2013-09-02 12:51:00
9:51 AM,75.9,72,87,29.89,10,SW,5.8,-,N/A,,Scattered Clouds,230,2013-09-02 13:51:00
10:51 AM,80.1,73,79,29.9,10,SW,5.8,-,N/A,,Scattered Clouds,230,2013-09-02 14:51:00
11:51 AM,82.9,73,72,29.89,10,SW,6.9,-,N/A,,Mostly Cloudy,220,2013-09-02 15:51:00
12:51 PM,82.9,72,69,29.88,10,WSW,8.1,-,N/A,,Mostly Cloudy,240,2013-09-02 16:51:00
1:51 PM,86,73,65,29.86,10,SW,9.2,-,N/A,,Mostly Cloudy,230,2013-09-02 17:51:00
2:51 PM,87.1,72,61,29.84,10,West,8.1,-,N/A,,Mostly Cloudy,260,2013-09-02 18:51:00
3:51 PM,86,71.1,61,29.82,10,SW,8.1,-,N/A,,Mostly Cloudy,230,2013-09-02 19:51:00
4:51 PM,86,72,63,29.81,10,WNW,4.6,-,N/A,,Mostly Cloudy,300,2013-09-02 20:51:00
5:51 PM,84.9,70,61,29.81,10,West,3.5,-,N/A,,Mostly Cloudy,270,2013-09-02 21:51:00
6:51 PM,84.9,73,67,29.81,10,WSW,4.6,-,N/A,,Mostly Cloudy,250,2013-09-02 22:51:00
7:51 PM,80.1,73,79,29.82,10,WSW,3.5,-,N/A,,Mostly Cloudy,250,2013-09-02 23:51:00
8:51 PM,80.1,73,79,29.83,10,WSW,3.5,-,N/A,,Mostly Cloudy,250,2013-09-03 00:51:00
9:51 PM,78.1,73,84,29.84,10,WSW,3.5,-,N/A,,Mostly Cloudy,250,2013-09-03 01:51:00
10:51 PM,75,73,94,29.84,9,WSW,5.8,-,N/A,,Scattered Clouds,240,2013-09-03 02:51:00
11:51 PM,75.9,73,91,29.83,9,SW,6.9,-,N/A,,Mostly Cloudy,230,2013-09-03 03:51:00
